province,price
Sumatera Utara,63500.0
Sumatera Utara,63500.0
Sumatera Utara,50650.0
Sumatera Utara,50650.0
Sumatera Utara,50650.0
Sumatera Utara,50650.0
Sumatera Utara,41900.0
Sumatera Utara,45650.0
Sumatera Utara,45650.0
Sumatera Utara,44400.0
Sumatera Utara,44400.0
Sumatera Utara,44400.0
Sumatera Utara,44400.0
Sumatera Utara,46250.0
Sumatera Utara,40650.0
Sumatera Utara,40650.0
Sumatera Utara,40650.0
Sumatera Utara,40000.0
Sumatera Utara,40000.0
Sumatera Utara,15600.0
Sumatera Utara,15600.0
Sumatera Utara,15600.0
Sumatera Utara,15600.0
Sumatera Utara,15700.0
Sumatera Utara,15700.0
Sumatera Utara,15700.0
Sumatera Utara,15750.0
Sumatera Utara,15750.0
Sumatera Utara,15750.0
Sumatera Utara,15800.0
Sumatera Utara,15800.0
Sumatera Utara,15750.0
Sumatera Utara,15750.0
Sumatera Utara,15750.0
Sumatera Utara,15750.0
Sumatera Utara,15750.0
Sumatera Utara,15700.0
Sumatera Utara,15700.0
Sumatera Utara,15750.0
Sumatera Utara,15750.0
Sumatera Utara,15750.0
Sumatera Utara,21950.0
Sumatera Utara,22000.0
Sumatera Utara,22000.0
Sumatera Utara,22000.0
Sumatera Utara,21800.0
Sumatera Utara,21800.0
Sumatera Utara,21800.0
Sumatera Utara,21800.0
Sumatera Utara,21800.0
Sumatera Utara,21800.0
Sumatera Utara,21950.0
Sumatera Utara,21950.0
Sumatera Utara,21950.0
Sumatera Utara,21950.0
Sumatera Utara,21950.0
Sumatera Utara,21950.0
Sumatera Utara,21950.0
Sumatera Utara,21950.0
Sumatera Utara,21950.0
Sumatera Utara,21950.0
Sumatera Utara,21950.0
Sumatera Utara,21950.0
Sumatera Utara,21350.0
Sumatera Utara,21250.0
Sumatera Utara,21250.0
Sumatera Utara,21250.0
Sumatera Utara,21450.0
Sumatera Utara,21450.0
Sumatera Utara,21650.0
Sumatera Utara,21600.0
Sumatera Utara,21600.0
Sumatera Utara,21600.0
Sumatera Utara,21650.0
Sumatera Utara,21650.0
Sumatera Utara,21650.0
Sumatera Utara,21650.0
Sumatera Utara,21650.0
Sumatera Utara,21650.0
Sumatera Utara,21900.0
Sumatera Utara,21900.0
Sumatera Utara,21900.0
Sumatera Utara,21900.0
Sumatera Utara,21850.0
Sumatera Utara,21800.0
